                      The alpha separation energy of elements 89 to 118. (Unit: MeV)

Nucl.	        EXP	        LDM	        DZ	        WS4	        FRDM	LDM-lgb	DZ-lgb	WS4-lgb	FRDM-lgb
258No	8.152 	8.104 	7.451 	8.233 	8.206 	7.612 	7.174 	8.163 	8.159 
259No	7.854 	7.958 	6.896 	7.930 	7.766 	7.731 	7.431 	7.868 	7.816 
260No	7.706 	7.818 	6.520 	7.576 	7.386 	7.374 	6.278 	7.598 	7.449 
262No	7.305 	7.529 	6.323 	6.849 	6.596 	7.125 	6.339 	6.823 	6.600 
264No	6.799 	7.238 	6.160 	6.335 	6.156 	6.915 	6.269 	6.412 	6.216 
251Lr	9.492 	9.640 	9.296 	9.366 	9.166 	9.396 	9.226 	9.518 	9.261 
253Lr	8.911 	9.371 	9.094 	8.994 	8.676 	9.031 	9.460 	8.927 	8.821 
255Lr	8.546 	9.098 	8.893 	8.924 	8.496 	8.595 	8.624 	8.573 	8.532 
257Lr	9.064 	8.822 	8.691 	8.965 	8.826 	8.858 	9.058 	8.969 	8.825 
259Lr	8.567 	8.543 	7.764 	8.665 	8.496 	8.410 	8.185 	8.667 	8.546 
261Lr	8.121 	8.262 	6.985 	8.001 	7.726 	7.809 	6.920 	7.948 	7.692 
263Lr	7.662 	7.977 	6.793 	7.315 	6.936 	7.554 	6.630 	7.280 	6.933 
265Lr	7.216 	7.690 	6.633 	6.797 	6.476 	7.199 	6.637 	6.793 	6.449 
256Rf	8.928 	9.536 	9.406 	9.169 	8.966 	8.929 	9.039 	8.902 	9.002 
258Rf	9.194 	9.265 	9.138 	9.256 	9.276 	9.212 	9.408 	9.228 	9.252 
260Rf	8.907 	8.991 	8.056 	9.016 	8.876 	8.698 	7.953 	8.992 	8.861 
262Rf	8.493 	8.713 	7.465 	8.381 	8.096 	8.582 	7.473 	8.386 	8.131 
264Rf	8.004 	8.433 	7.278 	7.733 	7.346 	8.065 	7.379 	7.672 	7.348 
266Rf	7.613 	8.150 	7.121 	7.235 	6.906 	7.761 	6.940 	7.203 	6.875 
268Rf	8.005 	7.865 	6.996 	7.725 	7.246 	7.453 	6.983 	7.728 	7.216 
255Db	9.333 	10.219 	10.079 	9.426 	9.396 	10.073 	10.212 	9.353 	9.512 
257Db	9.196 	9.956 	9.904 	9.437 	9.266 	9.411 	9.469 	9.153 	9.290 
259Db	9.612 	9.689 	9.387 	9.541 	9.586 	9.591 	9.832 	9.609 	9.648 
261Db	9.212 	9.419 	8.310 	9.299 	9.206 	9.135 	8.115 	9.219 	9.249 
263Db	8.817 	9.146 	7.937 	8.690 	8.406 	8.877 	8.004 	8.652 	8.439 
265Db	8.385 	8.870 	7.753 	8.062 	7.696 	8.542 	7.378 	8.063 	7.720 
267Db	7.883 	8.591 	7.599 	7.591 	7.276 	8.264 	7.455 	7.541 	7.258 
269Db	8.489 	8.310 	7.476 	8.139 	7.656 	7.880 	7.280 	8.113 	7.645 
258Sg	9.701 	10.383 	10.407 	9.748 	9.566 	9.920 	10.007 	9.553 	9.589 
260Sg	9.905 	10.121 	9.629 	9.883 	9.886 	9.976 	10.174 	9.900 	9.942 
262Sg	9.600 	9.855 	8.632 	9.646 	9.556 	9.640 	9.255 	9.596 	9.603 
264Sg	9.211 	9.587 	8.424 	9.052 	8.836 	9.383 	8.426 	8.990 	8.905 
266Sg	8.808 	9.315 	8.243 	8.436 	8.116 	9.161 	8.679 	8.413 	8.201 
268Sg	8.306 	9.040 	8.092 	7.978 	7.746 	8.609 	7.652 	7.927 	7.699 
270Sg	8.876 	8.763 	7.970 	8.561 	8.216 	8.302 	7.698 	8.571 	8.248 
272Sg	8.625 	8.484 	7.879 	8.419 	8.476 	8.057 	7.707 	8.401 	8.461 
261Bh	10.495 	10.535 	9.845 	10.405 	10.326 	10.608 	10.739 	10.397 	10.347 
263Bh	10.099 	10.274 	9.109 	10.189 	9.996 	10.212 	9.785 	10.184 	10.041 
265Bh	9.649 	10.009 	8.904 	9.602 	9.236 	9.821 	8.912 	9.546 	9.252 
267Bh	9.221 	9.742 	8.726 	8.987 	8.536 	9.599 	8.624 	8.966 	8.551 
269Bh	8.689 	9.471 	8.577 	8.488 	8.236 	9.329 	8.884 	8.469 	8.270 
271Bh	9.412 	9.198 	8.456 	9.045 	8.706 	8.785 	8.292 	9.024 	8.687 
273Bh	9.100 	8.923 	8.365 	8.959 	8.986 	8.536 	8.115 	8.952 	8.990 
264Hs	10.592 	10.699 	9.603 	10.801 	10.506 	10.648 	10.054 	10.678 	10.505 
266Hs	10.344 	10.439 	9.402 	10.211 	9.766 	10.236 	10.101 	10.240 	10.089 
268Hs	9.761 	10.176 	9.226 	9.590 	9.036 	10.020 	8.974 	9.522 	9.007 
270Hs	9.071 	9.910 	9.077 	9.026 	8.786 	9.628 	8.892 	9.003 	8.756 
272Hs	9.785 	9.641 	8.956 	9.527 	9.206 	9.482 	9.041 	9.533 	9.241 
274Hs	9.553 	9.369 	8.864 	9.501 	9.546 	8.985 	8.864 	9.440 	9.535 
276Hs	9.246 	9.095 	8.801 	9.052 	9.186 	8.767 	8.681 	9.029 	9.197 
265Mt	11.090 	11.108 	10.091 	11.526 	11.116 	11.243 	10.701 	11.621 	11.590 
267Mt	10.898 	10.852 	9.892 	10.951 	10.366 	10.793 	10.491 	11.002 	10.858 
269Mt	10.476 	10.593 	9.718 	10.254 	9.716 	10.511 	10.374 	10.364 	10.196 
271Mt	9.899 	10.331 	9.570 	9.680 	9.396 	10.082 	9.975 	9.685 	9.872 
273Mt	10.871 	10.066 	9.448 	10.160 	9.776 	9.834 	10.073 	10.203 	10.230 
275Mt	10.470 	9.798 	9.354 	10.155 	10.116 	9.574 	9.665 	10.217 	10.562 
277Mt	9.883 	9.528 	9.289 	9.639 	9.766 	9.261 	9.901 	9.670 	10.176 
279Mt	9.388 	9.255 	7.648 	9.123 	8.526 	8.864 	7.933 	9.140 	8.880 
281Mt	8.878 	8.980 	8.779 	8.247 	7.686 	8.607 	9.287 	8.354 	8.061 
268Ds	11.704 	11.272 	10.398 	11.574 	11.026 	11.633 	11.975 	11.815 	11.940 
270Ds	11.114 	11.017 	10.225 	10.919 	10.416 	11.145 	11.423 	11.118 	11.242 
272Ds	10.701 	10.759 	10.077 	10.380 	10.066 	10.773 	12.129 	10.519 	10.996 
274Ds	11.697 	10.498 	9.955 	10.868 	10.376 	10.507 	11.520 	10.996 	11.301 
276Ds	11.105 	10.234 	9.859 	10.884 	10.796 	10.310 	11.796 	11.053 	11.721 
278Ds	10.422 	9.968 	9.791 	10.247 	10.296 	9.842 	10.970 	10.395 	11.114 
280Ds	9.716 	9.699 	8.183 	9.432 	8.816 	9.550 	9.490 	9.623 	9.678 
282Ds	9.106 	9.428 	9.284 	8.532 	8.156 	9.273 	10.571 	8.707 	8.989 
284Ds	8.611 	9.155 	8.886 	7.883 	7.836 	8.986 	10.288 	8.139 	8.702 
273Rg	11.147 	11.170 	10.579 	11.015 	10.836 	11.253 	11.894 	11.085 	11.312 
275Rg	11.895 	10.913 	10.455 	11.461 	11.286 	10.937 	11.376 	11.523 	11.718 
277Rg	11.190 	10.653 	10.357 	11.368 	11.486 	10.676 	11.129 	11.443 	11.914 
279Rg	10.518 	10.391 	10.286 	10.598 	10.786 	10.400 	11.421 	10.674 	11.230 
281Rg	9.890 	10.126 	8.717 	9.758 	9.206 	9.866 	9.299 	9.809 	9.578 
283Rg	9.352 	9.858 	9.778 	9.024 	8.576 	9.613 	10.276 	9.150 	9.019 
285Rg	8.887 	9.589 	9.374 	8.456 	8.216 	9.352 	10.049 	8.530 	8.628 
276Cn	11.901 	11.335 	10.970 	11.922 	11.896 	11.232 	11.426 	11.962 	12.061 
278Cn	11.220 	11.080 	10.869 	11.779 	12.156 	10.962 	10.672 	11.728 	12.100 
280Cn	10.687 	10.821 	10.794 	10.863 	11.076 	10.559 	10.593 	10.834 	11.013 
282Cn	10.155 	10.560 	9.270 	10.140 	9.426 	10.381 	9.364 	10.144 	9.437 
284Cn	9.677 	10.296 	10.286 	9.544 	8.966 	9.862 	10.198 	9.486 	8.901 
286Cn	9.208 	10.030 	9.873 	9.037 	8.616 	9.646 	9.720 	9.034 	8.603 
288Cn	9.009 	9.762 	9.491 	9.107 	8.586 	9.414 	9.423 	9.107 	8.551 
279Nh	11.591 	11.489 	9.973 	12.140 	11.866 	11.450 	10.081 	12.148 	11.884 
281Nh	10.986 	11.235 	9.998 	11.284 	10.746 	11.003 	9.901 	11.216 	10.804 
283Nh	10.407 	10.977 	8.454 	10.408 	9.446 	10.709 	8.478 	10.335 	9.453 
285Nh	9.993 	10.717 	9.574 	9.810 	9.116 	10.482 	9.363 	9.757 	9.132 
287Nh	9.636 	10.455 	9.330 	9.345 	8.886 	10.183 	9.598 	9.257 	8.889 
289Nh	9.383 	10.191 	9.133 	9.319 	8.806 	9.842 	8.984 	9.256 	8.768 
284Fl	10.706 	11.402 	9.134 	10.573 	9.516 	11.247 	9.156 	10.539 	9.631 
286Fl	10.364 	11.145 	10.188 	9.970 	9.476 	11.025 	10.506 	9.952 	9.578 
288Fl	10.083 	10.887 	9.927 	9.645 	9.166 	10.574 	9.547 	9.603 	9.196 
290Fl	9.864 	10.626 	9.711 	9.520 	8.836 	10.298 	9.434 	9.448 	8.842 
287Mc	10.694 	11.557 	12.076 	10.502 	10.216 	11.486 	11.861 	10.543 	10.290 
289Mc	10.489 	11.302 	11.640 	10.296 	10.096 	11.186 	11.738 	10.319 	10.171 
291Mc	10.425 	11.045 	11.227 	10.192 	9.726 	10.598 	10.667 	10.159 	9.688 
290Lv	11.080 	11.725 	11.966 	11.084 	11.056 	11.642 	11.692 	11.070 	11.035 
292Lv	10.881 	11.471 	11.539 	11.127 	10.816 	11.468 	11.595 	11.151 	10.865 
291Ts	11.563 	12.132 	12.285 	11.719 	11.746 	12.052 	12.199 	11.636 	11.784 
293Ts	11.322 	11.881 	11.844 	11.622 	11.396 	11.792 	11.904 	11.555 	11.392 
294Og	11.642 	12.298 	12.162 	12.198 	12.366 	12.135 	12.115 	12.017 	12.291 

The alpha separation energies of elements 119-126 under the predictions of four machine learning models. (Unit: MeV)

Z	N	A	LDM-lgb	        DZ-lgb	        WS4-lgb	        FRDM-lgb
119	113	232	17.841±0.006	        #         	        #         	        #         
119	114	233	17.746±0.002	        #         	        #         	        #         
119	115	234	17.740±0.000	        #         	        #         	        #         
119	116	235	17.563±0.017	        #         	        #         	        #         
119	117	236	17.432±0.017	        #         	        #         	        #         
119	118	237	17.293±0.043	        #         	        #         	        #         
119	119	238	17.210±0.057	        #         	        #         	        #         
119	120	239	16.922±0.057	        #         	        #         	        #         
119	121	240	16.602±0.051	        #         	        #         	        #         
119	122	241	16.386±0.034	        #         	        #         	        #         
119	123	242	16.246±0.017	        #         	        #         	        #         
119	124	243	16.053±0.039	        #         	        #         	        #         
119	125	244	15.822±0.046	        #         	        #         	        #         
119	126	245	16.211±0.072	        #         	        #         	        #         
119	127	246	17.131±0.065	        #         	        #         	        #         
119	128	247	17.626±0.043	        #         	        #         	        #         
119	129	248	17.677±0.037	        #         	        #         	        #         
119	130	249	17.436±0.045	        #         	        #         	        #         
119	131	250	17.175±0.055	        #         	        #         	        #         
119	132	251	17.299±0.041	        #         	        #         	        #         
119	133	252	17.210±0.017	        #         	        #         	        #         
119	134	253	17.014±0.028	        #         	        #         	        #         
119	135	254	16.762±0.001	        #         	        #         	        #         
119	136	255	16.819±0.010	        #         	        #         	        #         
119	137	256	16.944±0.000	        #         	        #         	        #         
119	138	257	16.799±0.000	        #         	        #         	        #         
119	139	258	16.651±0.006	        #         	        #         	        #         
119	140	259	16.495±0.003	        #         	        #         	        #         
119	141	260	16.395±0.005	        #         	        #         	        #         
119	142	261	16.237±0.003	        #         	        #         	        #         
119	143	262	16.071±0.003	        #         	        #         	        #         
119	144	263	16.004±0.009	        #         	        #         	        #         
119	145	264	15.971±0.009	        #         	        #         	        #         
119	146	265	15.944±0.004	        #         	        #         	        #         
119	147	266	15.856±0.005	        #         	        #         	        #         
119	148	267	15.661±0.014	        #         	        #         	        #         
119	149	268	15.337±0.017	        #         	        #         	        #         
119	150	269	15.260±0.007	        #         	        #         	        #         
119	151	270	15.136±0.003	        #         	        #         	        #         
119	152	271	15.044±0.010	        #         	        #         	        #         
119	153	272	15.204±0.025	        #         	        #         	        #         
119	154	273	15.301±0.014	        #         	        #         	        #         
119	155	274	15.291±0.002	        #         	        #         	        #         
119	156	275	15.049±0.005	        #         	        #         	        #         
119	157	276	14.981±0.003	14.822±0.002	        #         	        #         
119	158	277	14.825±0.003	14.706±0.002	        #         	        #         
119	159	278	14.728±0.003	14.630±0.003	        #         	        #         
119	160	279	14.604±0.004	14.533±0.001	        #         	        #         
119	161	280	14.536±0.005	14.470±0.004	14.346±0.001	        #         
119	162	281	14.398±0.004	14.369±0.003	14.192±0.002	        #         
119	163	282	14.297±0.003	14.322±0.001	14.053±0.001	        #         
119	164	283	14.207±0.005	14.227±0.004	13.784±0.000	        #         
119	165	284	14.102±0.005	14.197±0.005	13.633±0.001	13.683±0.000
119	166	285	13.995±0.008	14.111±0.004	13.654±0.002	13.988±0.000
119	167	286	13.887±0.003	14.050±0.003	13.485±0.001	13.719±0.002
119	168	287	13.760±0.007	13.989±0.003	13.323±0.000	13.322±0.003
119	169	288	13.664±0.004	12.937±0.006	13.229±0.003	13.491±0.001
119	170	289	13.547±0.005	12.789±0.004	13.164±0.000	13.425±0.001
119	171	290	13.481±0.003	13.657±0.011	13.118±0.003	13.271±0.001
119	172	291	13.306±0.002	13.499±0.093	13.017±0.013	13.176±0.022
119	173	292	13.029±0.007	13.464±0.043	12.922±0.008	13.145±0.002
119	174	293	12.784±0.007	13.272±0.022	12.661±0.001	12.894±0.037
119	175	294	12.843±0.016	12.795±0.032	12.741±0.002	12.854±0.000
119	176	295	12.672±0.007	12.389±0.003	12.708±0.002	12.844±0.000
119	177	296	12.446±0.005	12.133±0.004	12.440±0.003	13.010±0.000
119	178	297	12.377±0.015	11.911±0.004	12.353±0.001	12.824±0.003
119	179	298	12.180±0.005	        #         	12.686±0.001	13.063±0.000
119	180	299	12.063±0.012	        #         	12.673±0.000	13.000±0.004
119	181	300	12.030±0.007	        #         	12.556±0.004	13.050±0.003
119	182	301	11.566±0.009	        #         	12.315±0.001	12.960±0.004
119	183	302	11.594±0.019	        #         	12.356±0.002	13.009±0.002
119	184	303	11.434±0.003	        #         	12.371±0.002	13.026±0.004
119	185	304	11.282±0.005	        #         	12.865±0.002	13.794±0.001
119	186	305	11.126±0.014	        #         	13.349±0.000	13.777±0.001
119	187	306	11.070±0.018	        #         	13.158±0.002	13.842±0.003
119	188	307	10.907±0.008	        #         	12.771±0.003	13.277±0.008
119	189	308	10.853±0.003	        #         	12.128±0.004	12.153±0.000
119	190	309	10.682±0.008	        #         	11.360±0.001	11.605±0.000
119	191	310	10.535±0.012	        #         	10.933±0.002	10.648±0.003
119	192	311	10.498±0.002	        #         	10.791±0.004	10.215±0.002
119	193	312	10.323±0.010	        #         	10.667±0.006	9.853±0.001
119	194	313	10.258±0.003	        #         	9.410±0.003	10.027±0.001
119	195	314	10.133±0.014	        #         	9.046±0.005	9.441±0.002
119	196	315	10.043±0.003	        #         	8.731±0.004	9.328±0.000
119	197	316	9.964±0.002	        #         	8.821±0.008	9.116±0.002
119	198	317	9.849±0.015	        #         	9.236±0.008	9.013±0.008
119	199	318	9.680±0.013	        #         	9.086±0.009	12.460±0.010
119	200	319	9.670±0.022	        #         	9.041±0.044	12.714±0.002
119	201	320	9.540±0.002	        #         	8.865±0.015	12.565±0.032
119	202	321	9.355±0.009	        #         	8.649±0.009	10.027±0.013
119	203	322	9.359±0.009	        #         	8.573±0.006	10.145±0.028
119	204	323	9.190±0.005	        #         	7.935±0.001	10.225±0.010
119	205	324	9.062±0.002	        #         	8.650±0.000	10.072±0.009
119	206	325	8.881±0.007	        #         	8.745±0.003	9.811±0.001
119	207	326	8.750±0.007	        #         	8.819±0.004	9.395±0.002
119	208	327	8.600±0.004	        #         	8.476±0.007	7.828±0.005
119	209	328	8.491±0.003	        #         	8.292±0.007	9.106±0.005
119	210	329	8.338±0.005	        #         	7.872±0.002	8.064±0.003
119	211	330	8.228±0.002	        #         	7.727±0.003	7.912±0.002
119	212	331	8.069±0.004	        #         	7.672±0.001	6.137±0.003
119	213	332	7.959±0.003	        #         	7.628±0.001	6.089±0.003
119	214	333	7.799±0.005	        #         	7.448±0.000	6.159±0.000
119	215	334	7.687±0.003	        #         	7.339±0.002	6.165±0.001
119	216	335	7.525±0.004	        #         	7.070±0.002	6.582±0.000
119	217	336	7.414±0.003	        #         	7.146±0.003	6.454±0.002
119	218	337	7.252±0.004	        #         	6.338±0.002	6.532±0.001
119	219	338	        #         	        #         	6.276±0.003	6.434±0.002
119	220	339	        #         	        #         	5.883±0.002	6.092±0.001
119	221	340	        #         	        #         	6.016±0.003	        #         
119	222	341	        #         	        #         	5.990±0.002	        #         
119	223	342	        #         	        #         	6.051±0.003	        #         
119	224	343	        #         	        #         	5.585±0.002	        #         
119	225	344	        #         	        #         	5.362±0.003	        #         
119	226	345	        #         	        #         	4.962±0.002	        #         
119	227	346	        #         	        #         	4.666±0.003	        #         
119	228	347	        #         	        #         	4.294±0.002	        #         
119	229	348	        #         	        #         	4.429±0.003	        #         
119	230	349	        #         	        #         	4.651±0.002	        #         
119	231	350	        #         	        #         	4.731±0.003	        #         
120	114	234	17.958±0.023	        #         	        #         	        #         
120	115	235	17.857±0.038	        #         	        #         	        #         
120	116	236	17.593±0.057	        #         	        #         	        #         
120	117	237	17.427±0.049	        #         	        #         	        #         
120	118	238	17.203±0.067	        #         	        #         	        #         
120	119	239	17.077±0.095	        #         	        #         	        #         
120	120	240	16.815±0.085	        #         	        #         	        #         
120	121	241	16.553±0.060	        #         	        #         	        #         
120	122	242	16.380±0.050	        #         	        #         	        #         
120	123	243	16.283±0.042	        #         	        #         	        #         
120	124	244	16.171±0.048	        #         	        #         	        #         
120	125	245	16.005±0.072	        #         	        #         	        #         
120	126	246	16.332±0.065	        #         	        #         	        #         
120	127	247	17.273±0.071	        #         	        #         	        #         
120	128	248	17.947±0.093	        #         	        #         	        #         
120	129	249	17.858±0.058	        #         	        #         	        #         
120	130	250	17.602±0.072	        #         	        #         	        #         
120	131	251	17.393±0.084	        #         	        #         	        #         
120	132	252	17.473±0.074	        #         	        #         	        #         
120	133	253	17.523±0.049	        #         	        #         	        #         
120	134	254	17.475±0.025	        #         	        #         	        #         
120	135	255	17.173±0.015	        #         	        #         	        #         
120	136	256	17.223±0.037	        #         	        #         	        #         
120	137	257	17.277±0.036	        #         	        #         	        #         
120	138	258	17.137±0.047	        #         	        #         	        #         
120	139	259	17.008±0.048	        #         	        #         	        #         
120	140	260	16.866±0.049	        #         	        #         	        #         
120	141	261	16.725±0.059	        #         	        #         	        #         
120	142	262	16.640±0.058	        #         	        #         	        #         
120	143	263	16.476±0.065	        #         	        #         	        #         
120	144	264	16.456±0.072	        #         	        #         	        #         
120	145	265	16.367±0.075	        #         	        #         	        #         
120	146	266	16.369±0.073	        #         	        #         	        #         
120	147	267	16.304±0.075	        #         	        #         	        #         
120	148	268	16.104±0.075	        #         	        #         	        #         
120	149	269	15.770±0.083	        #         	        #         	        #         
120	150	270	15.768±0.062	        #         	        #         	        #         
120	151	271	15.597±0.067	        #         	        #         	        #         
120	152	272	15.468±0.065	15.644±0.009	        #         	        #         
120	153	273	15.680±0.047	15.669±0.063	        #         	        #         
120	154	274	15.758±0.049	15.871±0.089	        #         	        #         
120	155	275	15.752±0.068	15.966±0.002	        #         	        #         
120	156	276	15.518±0.071	15.308±0.002	        #         	        #         
120	157	277	15.423±0.070	15.220±0.001	        #         	        #         
120	158	278	15.309±0.068	15.118±0.000	        #         	        #         
120	159	279	15.192±0.073	15.033±0.000	        #         	        #         
120	160	280	15.071±0.069	14.930±0.001	        #         	        #         
120	161	281	14.980±0.071	14.860±0.001	        #         	        #         
120	162	282	14.849±0.071	14.761±0.002	        #         	        #         
120	163	283	14.785±0.076	14.715±0.000	14.397±0.001	        #         
120	164	284	14.657±0.075	14.609±0.002	14.037±0.000	        #         
120	165	285	14.549±0.079	14.547±0.002	13.927±0.001	        #         
120	166	286	14.452±0.078	14.491±0.002	14.102±0.000	        #         
120	167	287	14.313±0.078	14.414±0.000	13.916±0.000	13.810±0.005
120	168	288	14.215±0.079	14.353±0.006	13.773±0.000	13.794±0.001
120	169	289	14.114±0.088	13.430±0.001	13.782±0.002	13.615±0.004
120	170	290	14.007±0.085	13.240±0.003	13.714±0.000	13.651±0.000
120	171	291	13.900±0.088	14.056±0.003	13.578±0.000	13.738±0.006
120	172	292	13.780±0.085	13.771±0.006	13.506±0.000	13.658±0.003
120	173	293	13.618±0.093	13.667±0.002	13.413±0.010	13.541±0.002
120	174	294	13.372±0.085	13.087±0.000	13.218±0.005	13.346±0.013
120	175	295	13.325±0.089	13.477±0.172	13.301±0.004	13.341±0.007
120	176	296	13.090±0.084	12.702±0.080	13.376±0.001	13.506±0.011
120	177	297	12.969±0.093	12.680±0.004	13.137±0.007	13.570±0.005
120	178	298	12.845±0.085	        #         	12.951±0.005	13.078±0.000
120	179	299	12.719±0.087	        #         	13.265±0.003	13.679±0.003
120	180	300	12.532±0.049	        #         	13.297±0.001	13.510±0.001
120	181	301	12.468±0.112	        #         	13.069±0.000	13.541±0.004
120	182	302	12.339±0.088	        #         	12.877±0.004	13.437±0.002
120	183	303	12.065±0.068	        #         	12.821±0.004	13.402±0.000
120	184	304	11.858±0.078	        #         	12.726±0.000	13.391±0.001
120	185	305	11.825±0.082	        #         	13.252±0.001	14.130±0.002
120	186	306	11.543±0.061	        #         	13.782±0.005	14.129±0.008
120	187	307	11.523±0.064	        #         	13.492±0.002	13.445±0.003
120	188	308	11.363±0.042	        #         	12.927±0.005	12.822±0.004
120	189	309	11.262±0.040	        #         	12.152±0.000	11.585±0.004
120	190	310	11.133±0.044	        #         	11.519±0.002	11.165±0.002
120	191	311	11.101±0.024	        #         	11.223±0.002	10.611±0.005
120	192	312	10.876±0.012	        #         	11.257±0.003	10.584±0.000
120	193	313	10.782±0.003	        #         	11.055±0.001	10.355±0.000
120	194	314	10.698±0.014	        #         	10.775±0.002	10.169±0.000
120	195	315	10.483±0.010	        #         	9.463±0.009	9.969±0.001
120	196	316	10.428±0.003	        #         	9.183±0.004	9.737±0.002
120	197	317	10.343±0.018	        #         	9.992±0.003	9.605±0.001
120	198	318	10.291±0.006	        #         	10.065±0.008	9.540±0.004
120	199	319	10.207±0.009	        #         	9.912±0.003	12.955±0.001
120	200	320	10.025±0.017	        #         	9.671±0.006	13.025±0.005
120	201	321	9.868±0.007	        #         	9.418±0.026	12.657±0.005
120	202	322	9.836±0.013	        #         	9.358±0.042	10.304±0.009
120	203	323	9.629±0.009	        #         	9.020±0.007	10.180±0.012
120	204	324	9.616±0.007	        #         	7.953±0.003	10.558±0.009
120	205	325	9.554±0.002	        #         	7.732±0.008	10.270±0.022
120	206	326	9.416±0.004	        #         	9.267±0.001	10.164±0.007
120	207	327	9.277±0.001	        #         	8.674±0.001	8.414±0.000
120	208	328	9.085±0.008	        #         	8.465±0.002	8.261±0.009
120	209	329	8.964±0.005	        #         	8.604±0.000	8.082±0.002
120	210	330	8.823±0.005	        #         	8.385±0.006	7.834±0.006
120	211	331	8.704±0.003	        #         	8.112±0.008	6.739±0.008
120	212	332	8.562±0.006	        #         	7.979±0.001	6.320±0.003
120	213	333	8.442±0.003	        #         	7.977±0.003	6.360±0.001
120	214	334	8.295±0.006	        #         	7.909±0.001	6.308±0.005
120	215	335	8.175±0.003	        #         	7.765±0.001	7.392±0.000
120	216	336	8.026±0.006	        #         	6.533±0.001	7.285±0.000
120	217	337	7.904±0.002	        #         	6.310±0.002	7.078±0.003
120	218	338	7.753±0.004	        #         	6.334±0.001	6.857±0.002
120	219	339	7.634±0.002	        #         	7.563±0.002	6.597±0.003
120	220	340	        #         	        #         	6.800±0.001	        #         
120	221	341	        #         	        #         	6.844±0.003	        #         
120	222	342	        #         	        #         	6.840±0.001	        #         
120	223	343	        #         	        #         	6.665±0.003	        #         
120	224	344	        #         	        #         	6.386±0.001	        #         
120	225	345	        #         	        #         	6.147±0.003	        #         
120	226	346	        #         	        #         	5.840±0.001	        #         
120	227	347	        #         	        #         	5.273±0.003	        #         
120	228	348	        #         	        #         	4.751±0.001	        #         
120	229	349	        #         	        #         	4.880±0.003	        #         
120	230	350	        #         	        #         	5.231±0.001	        #         
121	115	236	17.993±0.047	        #         	        #         	        #         
121	116	237	17.720±0.071	        #         	        #         	        #         
121	117	238	17.546±0.068	        #         	        #         	        #         
121	118	239	17.375±0.079	        #         	        #         	        #         
121	119	240	17.219±0.101	        #         	        #         	        #         
121	120	241	16.949±0.108	        #         	        #         	        #         
121	121	242	16.617±0.084	        #         	        #         	        #         
121	122	243	16.409±0.056	        #         	        #         	        #         
121	123	244	16.329±0.042	        #         	        #         	        #         
121	124	245	16.187±0.049	        #         	        #         	        #         
121	125	246	15.955±0.054	        #         	        #         	        #         
121	126	247	16.288±0.053	        #         	        #         	        #         
121	127	248	17.328±0.074	        #         	        #         	        #         
121	128	249	18.055±0.061	        #         	        #         	        #         
121	129	250	18.033±0.058	        #         	        #         	        #         
121	130	251	17.793±0.068	        #         	        #         	        #         
121	131	252	17.652±0.085	        #         	        #         	        #         
121	132	253	17.865±0.076	        #         	        #         	        #         
121	133	254	17.939±0.047	        #         	        #         	        #         
121	134	255	17.876±0.019	        #         	        #         	        #         
121	135	256	17.643±0.014	        #         	        #         	        #         
121	136	257	17.475±0.047	        #         	        #         	        #         
121	137	258	17.613±0.076	        #         	        #         	        #         
121	138	259	17.468±0.084	        #         	        #         	        #         
121	139	260	17.438±0.074	        #         	        #         	        #         
121	140	261	17.245±0.081	        #         	        #         	        #         
121	141	262	17.141±0.081	        #         	        #         	        #         
121	142	263	16.994±0.083	        #         	        #         	        #         
121	143	264	16.880±0.084	        #         	        #         	        #         
121	144	265	16.791±0.087	        #         	        #         	        #         
121	145	266	16.771±0.097	        #         	        #         	        #         
121	146	267	16.735±0.090	        #         	        #         	        #         
121	147	268	16.684±0.087	        #         	        #         	        #         
121	148	269	16.483±0.098	        #         	        #         	        #         
121	149	270	16.187±0.095	        #         	        #         	        #         
121	150	271	16.087±0.086	        #         	        #         	        #         
121	151	272	16.049±0.085	        #         	        #         	        #         
121	152	273	15.850±0.081	        #         	        #         	        #         
121	153	274	16.110±0.062	        #         	        #         	        #         
121	154	275	16.114±0.074	        #         	        #         	        #         
121	155	276	16.143±0.084	        #         	        #         	        #         
121	156	277	15.940±0.086	        #         	        #         	        #         
121	157	278	15.842±0.087	        #         	        #         	        #         
121	158	279	15.741±0.090	        #         	        #         	        #         
121	159	280	15.611±0.090	15.445±0.002	        #         	        #         
121	160	281	15.517±0.090	15.335±0.002	        #         	        #         
121	161	282	15.387±0.090	15.255±0.003	        #         	        #         
121	162	283	15.285±0.091	15.150±0.003	        #         	        #         
121	163	284	15.172±0.090	15.088±0.003	        #         	        #         
121	164	285	15.084±0.092	14.997±0.001	        #         	        #         
121	165	286	14.966±0.095	14.925±0.004	14.368±0.004	        #         
121	166	287	14.829±0.096	14.845±0.000	14.526±0.000	        #         
121	167	288	14.763±0.100	14.790±0.006	14.521±0.003	        #         
121	168	289	14.609±0.100	14.710±0.001	14.393±0.001	        #         
121	169	290	14.575±0.101	13.948±0.005	14.494±0.004	14.081±0.004
121	170	291	14.428±0.102	13.716±0.001	14.407±0.002	14.202±0.001
121	171	292	14.372±0.109	14.456±0.002	14.402±0.002	13.935±0.006
121	172	293	14.210±0.109	14.112±0.003	14.102±0.000	13.889±0.005
